Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress,DocumentName,Contractor,DocumentType,Status,ReviewStartDate,ApprovedDate,Deadline,DaysTaken,DelayDays,Start Date
P001,Project 001,Innovation,City 1,1/01/2024,2/12/2024,Behind,Medium,T001,Task 001 of Project 001,In Progress,Bob,1,1200,0,0.1,Document 1,Contractor 1,Report,Pending,1/02/2024,,2/12/2024,4,1,1/01/2024
P001,Project 001,Innovation,City 1,1/01/2024,2/12/2024,Behind,Medium,T002,Task 002 of Project 001,Completed,Charlie,2,1400,500,0.1,Document 2,Contractor 2,Permit,Approved,1/02/2024,1/03/2024,2/12/2024,5,2,1/01/2024
P001,Project 001,Innovation,City 1,1/01/2024,2/12/2024,Behind,Medium,T003,Task 003 of Project 001,Pending,Bob,3,1600,0,0.1,Document 3,Contractor 3,Permit,Pending,1/02/2024,,2/12/2024,6,3,1/01/2024
P002,Project 002,Renovation,City 2,2/01/2024,3/12/2024,On Track,High,T001,Task 001 of Project 002,In Progress,Bob,2,2200,0,0.2,Document 1,Contractor 1,Report,Pending,2/02/2024,,3/12/2024,4,1,2/01/2024
P002,Project 002,Renovation,City 2,2/01/2024,3/12/2024,On Track,High,T002,Task 002 of Project 002,Completed,Charlie,4,2400,1000,0.2,Document 2,Contractor 2,Permit,Approved,2/02/2024,2/03/2024,3/12/2024,5,2,2/01/2024
P002,Project 002,Renovation,City 2,2/01/2024,3/12/2024,On Track,High,T003,Task 003 of Project 002,Pending,Bob,6,2600,0,0.2,Document 3,Contractor 3,Permit,Pending,2/02/2024,,3/12/2024,6,3,2/01/2024
P003,Project 003,Innovation,City 3,3/01/2024,4/12/2024,Behind,Medium,T001,Task 001 of Project 003,In Progress,Bob,3,3200,0,0.3,Document 1,Contractor 1,Report,Pending,3/02/2024,,4/12/2024,4,1,3/01/2024
P003,Project 003,Innovation,City 3,3/01/2024,4/12/2024,Behind,Medium,T002,Task 002 of Project 003,Completed,Charlie,6,3400,1500,0.3,Document 2,Contractor 2,Permit,Approved,3/02/2024,3/03/2024,4/12/2024,5,2,3/01/2024
P003,Project 003,Innovation,City 3,3/01/2024,4/12/2024,Behind,Medium,T003,Task 003 of Project 003,Pending,Bob,9,3600,0,0.3,Document 3,Contractor 3,Permit,Pending,3/02/2024,,4/12/2024,6,3,3/01/2024
P004,Project 004,Renovation,City 4,4/01/2024,5/12/2024,On Track,High,T001,Task 001 of Project 004,In Progress,Bob,4,4200,0,0.4,Document 1,Contractor 1,Report,Pending,4/02/2024,,5/12/2024,4,1,4/01/2024
P004,Project 004,Renovation,City 4,4/01/2024,5/12/2024,On Track,High,T002,Task 002 of Project 004,Completed,Charlie,8,4400,2000,0.4,Document 2,Contractor 2,Permit,Approved,4/02/2024,4/03/2024,5/12/2024,5,2,4/01/2024
P004,Project 004,Renovation,City 4,4/01/2024,5/12/2024,On Track,High,T003,Task 003 of Project 004,Pending,Bob,12,4600,0,0.4,Document 3,Contractor 3,Permit,Pending,4/02/2024,,5/12/2024,6,3,4/01/2024
P005,Project 005,Innovation,City 5,5/01/2024,6/12/2024,Behind,Medium,T001,Task 001 of Project 005,In Progress,Bob,5,5200,0,0.5,Document 1,Contractor 1,Report,Pending,5/02/2024,,6/12/2024,4,1,5/01/2024
P005,Project 005,Innovation,City 5,5/01/2024,6/12/2024,Behind,Medium,T002,Task 002 of Project 005,Completed,Charlie,10,5400,2500,0.5,Document 2,Contractor 2,Permit,Approved,5/02/2024,5/03/2024,6/12/2024,5,2,5/01/2024
P005,Project 005,Innovation,City 5,5/01/2024,6/12/2024,Behind,Medium,T003,Task 003 of Project 005,Pending,Bob,15,5600,0,0.5,Document 3,Contractor 3,Permit,Pending,5/02/2024,,6/12/2024,6,3,5/01/2024
P006,Project 006,Renovation,City 6,6/01/2024,7/12/2024,On Track,High,T001,Task 001 of Project 006,In Progress,Bob,6,6200,0,0.6,Document 1,Contractor 1,Report,Pending,6/02/2024,,7/12/2024,4,1,6/01/2024
P006,Project 006,Renovation,City 6,6/01/2024,7/12/2024,On Track,High,T002,Task 002 of Project 006,Completed,Charlie,12,6400,3000,0.6,Document 2,Contractor 2,Permit,Approved,6/02/2024,6/03/2024,7/12/2024,5,2,6/01/2024
P006,Project 006,Renovation,City 6,6/01/2024,7/12/2024,On Track,High,T003,Task 003 of Project 006,Pending,Bob,18,6600,0,0.6,Document 3,Contractor 3,Permit,Pending,6/02/2024,,7/12/2024,6,3,6/01/2024
P007,Project 007,Innovation,City 7,7/01/2024,8/12/2024,Behind,Medium,T001,Task 001 of Project 007,In Progress,Bob,7,7200,0,0.7,Document 1,Contractor 1,Report,Pending,7/02/2024,,8/12/2024,4,1,7/01/2024
P007,Project 007,Innovation,City 7,7/01/2024,8/12/2024,Behind,Medium,T002,Task 002 of Project 007,Completed,Charlie,14,7400,3500,0.7,Document 2,Contractor 2,Permit,Approved,7/02/2024,7/03/2024,8/12/2024,5,2,7/01/2024
P007,Project 007,Innovation,City 7,7/01/2024,8/12/2024,Behind,Medium,T003,Task 003 of Project 007,Pending,Bob,21,7600,0,0.7,Document 3,Contractor 3,Permit,Pending,7/02/2024,,8/12/2024,6,3,7/01/2024
P008,Project 008,Renovation,City 8,8/01/2024,9/12/2024,On Track,High,T001,Task 001 of Project 008,In Progress,Bob,8,8200,0,0.8,Document 1,Contractor 1,Report,Pending,8/02/2024,,9/12/2024,4,1,8/01/2024
P008,Project 008,Renovation,City 8,8/01/2024,9/12/2024,On Track,High,T002,Task 002 of Project 008,Completed,Charlie,16,8400,4000,0.8,Document 2,Contractor 2,Permit,Approved,8/02/2024,8/03/2024,9/12/2024,5,2,8/01/2024
P008,Project 008,Renovation,City 8,8/01/2024,9/12/2024,On Track,High,T003,Task 003 of Project 008,Pending,Bob,24,8600,0,0.8,Document 3,Contractor 3,Permit,Pending,8/02/2024,,9/12/2024,6,3,8/01/2024
P009,Project 009,Innovation,City 9,9/01/2024,10/12/2024,Behind,Medium,T001,Task 001 of Project 009,In Progress,Bob,9,9200,0,0.9,Document 1,Contractor 1,Report,Pending,9/02/2024,,10/12/2024,4,1,9/01/2024
P009,Project 009,Innovation,City 9,9/01/2024,10/12/2024,Behind,Medium,T002,Task 002 of Project 009,Completed,Charlie,18,9400,4500,0.9,Document 2,Contractor 2,Permit,Approved,9/02/2024,9/03/2024,10/12/2024,5,2,9/01/2024
P009,Project 009,Innovation,City 9,9/01/2024,10/12/2024,Behind,Medium,T003,Task 003 of Project 009,Pending,Bob,27,9600,0,0.9,Document 3,Contractor 3,Permit,Pending,9/02/2024,,10/12/2024,6,3,9/01/2024
P010,Project 010,Renovation,City 10,10/01/2024,11/12/2024,On Track,High,T001,Task 001 of Project 010,In Progress,Bob,10,10200,0,1.0,Document 1,Contractor 1,Report,Pending,10/02/2024,,11/12/2024,4,1,10/01/2024
P010,Project 010,Renovation,City 10,10/01/2024,11/12/2024,On Track,High,T002,Task 002 of Project 010,Completed,Charlie,20,10400,5000,1.0,Document 2,Contractor 2,Permit,Approved,10/02/2024,10/03/2024,11/12/2024,5,2,10/01/2024
P010,Project 010,Renovation,City 10,10/01/2024,11/12/2024,On Track,High,T003,Task 003 of Project 010,Pending,Bob,30,10600,0,1.0,Document 3,Contractor 3,Permit,Pending,10/02/2024,,11/12/2024,6,3,10/01/2024
